ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2018-03-15 00:00:00,3220.6893165612055,384.94472805649605,2593.6504867619456,3220.6893165612055,3220.6893165612055,-0.6451318999933855,-0.6451318999933855,-0.6451318999933855,-0.5414168696401954,-0.5414168696401954,-0.5414168696401954,0.0923022799999797,0.0923022799999797,0.0923022799999797,0.01141275035321036,0.01141275035321036,0.01141275035321036,0.0,0.0,0.0,1476.9537887050171
2018-03-15 01:00:00,3220.639438990949,-168.96578248312719,1871.8411163630315,3220.639438990949,3220.639438990949,-0.8494851014553357,-0.8494851014553357,-0.8494851014553357,-0.7451477855468811,-0.7451477855468811,-0.7451477855468811,0.09294570536949597,0.09294570536949597,0.09294570536949597,0.011391610538958555,0.011391610538958555,0.011391610538958555,0.0,0.0,0.0,820.7870929818939
2018-03-15 02:00:00,3220.589561420693,-592.0969230317423,1465.2557578652056,3220.589561420693,3220.589561420693,-0.9843426308119808,-0.9843426308119808,-0.9843426308119808,-0.879307943852862,-0.879307943852862,-0.879307943852862,0.09366378914831003,0.09366378914831003,0.09366378914831003,0.011370897810808609,0.011370897810808609,0.011370897810808609,0.0,0.0,0.0,388.6995761738727
2018-03-15 03:00:00,3220.5396838504366,-541.4392012962153,1679.3670465254993,3220.5396838504366,3220.5396838504366,-0.9332951231179963,-0.9332951231179963,-0.9332951231179963,-0.8274814369731183,-0.8274814369731183,-0.8274814369731183,0.09446307332214712,0.09446307332214712,0.09446307332214712,0.011350612822731067,0.011350612822731067,0.011350612822731067,0.0,0.0,0.0,555.6028784289254
2018-03-15 04:00:00,3220.4898062801803,290.9668968619618,2541.796416399475,3220.4898062801803,3220.4898062801803,-0.661393241268934,-0.661393241268934,-0.661393241268934,-0.5547137710623942,-0.5547137710623942,-0.5547137710623942,0.09534871400559232,0.09534871400559232,0.09534871400559232,0.01133075620094751,0.01133075620094751,0.01133075620094751,0.0,0.0,0.0,1434.0397611705023
2018-03-15 05:00:00,3220.4399287099236,1678.4356276616177,3858.21846272919,3220.4399287099236,3220.4399287099236,-0.2527902655914366,-0.2527902655914366,-0.2527902655914366,-0.14515466891498283,-0.14515466891498283,-0.14515466891498283,0.09632426813250292,0.09632426813250292,0.09632426813250292,0.011311328543950807,0.011311328543950807,0.011311328543950807,0.0,0.0,0.0,2752.9780370974436
2018-03-15 06:00:00,3220.3900511396673,2898.482295780846,5186.010280018577,3220.3900511396673,3220.3900511396673,0.13730109998571785,0.13730109998571785,0.13730109998571785,0.24598492428475235,0.24598492428475235,0.24598492428475235,0.09739149387656836,0.09739149387656836,0.09739149387656836,0.011292330422466152,0.011292330422466152,0.011292330422466152,0.0,0.0,0.0,4012.557454036628
2018-03-15 07:00:00,3220.340173569411,3700.1993228896417,5886.9251825163565,3220.340173569411,3220.340173569411,0.37925475135670106,0.37925475135670106,0.37925475135670106,0.48907868201917204,0.48907868201917204,0.48907868201917204,0.09855016828299125,0.09855016828299125,0.09855016828299125,0.01127376237947976,0.01127376237947976,0.01127376237947976,0.0,0.0,0.0,4795.33990131213
2018-03-15 08:00:00,3220.2902959991548,3908.01918117289,6083.692743676949,3220.2902959991548,3220.2902959991548,0.4407868087661735,0.4407868087661735,0.4407868087661735,0.5518403591074851,0.5518403591074851,0.5518403591074851,0.09979792541106851,0.09979792541106851,0.09979792541106851,0.011255624930243062,0.011255624930243062,0.011255624930243062,0.0,0.0,0.0,4997.376449373677
2018-03-15 09:00:00,3220.2404184288985,3752.603699409215,5848.326637355104,3220.2404184288985,3220.2404184288985,0.3859560877724394,0.3859560877724394,0.3859560877724394,0.4983241244092967,0.4983241244092967,0.4983241244092967,0.10113011807460223,0.10113011807460223,0.10113011807460223,0.011237918562255048,0.011237918562255048,0.011237918562255048,0.0,0.0,0.0,4824.963905329906
